store_id,store_name,address
PA01|Épicerie Fine Paris Marais|"12 Rue des Francs Bourgeois, 75003 Paris"
PA02|Saveurs de France Paris|"35 Avenue de la République, 75011 Paris"
PA03|Le Gourmet Parisien|"8 Place de la Bastille, 75012 Paris"
BO01|Délices de Bordeaux|"42 Cours de l'Intendance, 33000 Bordeaux"
BO02|Terroirs de Bordeaux|"15 Rue du Parlement Sainte-Catherine, 33000 Bordeaux"
MO01|Le Panier Montpelliérain|"7 Rue de la Loge, 34000 Montpellier"
LY01|Gastronomie Lyonnaise|"28 Quai Saint-Antoine, 69002 Lyon"
LY02|Les Halles de Lyon|"102 Cours Lafayette, 69003 Lyon"
MA01|Saveurs de Provence Marseille|"50 Rue Paradis, 13001 Marseille"
LI01|Au Palais Lillois|"18 Rue Basse, 59800 Lille"
RE01|Épices et Saveurs de Rennes|"3 Place du Champ Jacquet, 35000 Rennes"
ST01|Trésors d'Alsace Strasbourg|"25 Rue des Hallebardes, 67000 Strasbourg"
CL01|Volcans Gourmands|"6 Place de Jaude, 63000 Clermont-Ferrand"